id,e_code,title,info,e_type,halal_status
11,E107,Yellow 2G,"It is a synthetic coal tar and yellow azo dye. It appears to cause allergic or intolerance reactions, particularly amongst those with an aspirin intolerance and asthma sufferers. 
 Currently only the UK in the European Union uses this dye and the EU is proposing a total ban. Its use is banned in Austria, Japan, Norway, Sweden, Switzerland and the United States.",Coloring,Halal
12,E110,Sunset Yellow FCF ,"It is used as a synthetic coloring agent in food and beverage products. It is a synthetic azo dye and is generally used in fermented foods that require heat treatment. 
 Used in the production of bakery product, cakes, sweets, snacks, ice cream, beverages and canned fish, instant soups and some syrup-like drugs. 
 Side effects are  runny nose (rhinitis), nasal congestion, allergy, hyperactivity, kidney tumor, chromosome damage, abdominal pain, nausea and vomiting and indigestion.",Coloring,Halal
13,E1100,Amylases,"A digestive enzyme classified as saccharidase (an enzyme that breaks polysaccharides, especially starches, into sugars). 
 The origin of this additive is the pancreas of pigs, green mold and genetic engineering. 
 Amylase is also synthesized in many fruit species during ripening, which makes them sweeter and also during the germination of cereals. 
This additive is used especially in bakery.",Flour treatment agent,Doubtful
14,E1101,Proteases,"Natural proteases are very abundant enzymes in the living realm, they break the peptide bonds of proteins. 
 Their biological functions are varied: they intervene in the maturation of proteins, the digestion of food, the blood coagulation, the remodeling of tissues during the development of the organism and the healing. 
 It is divided into 4 classes: Peptidase, Papain, Bromelain and Ficin. 
 It is also used in the kitchen to soften meat, and in alcoholic beverages. 
 Proteases are also inserted into some pharmaceutical products. ",Flour bleaching agent,Doubtful
15,E1102,Glucose oxidase,"Natural glucose oxidase is an oxidoreductase enzyme that in cells helps break down sugar into its metabolites. 
 Commercially, the additive is biosynthesized from microorganisms (fungi) Aspergillus niger or penicillium notatum. 
 It can also be inserted into cosmetic products.",Antioxidant,Doubtful
16,E1103,Invertases,"This additive is used in many foods. In the food industry, such as bees, invertase is used to produce invert sugar by dividing sucrose into a molecule of fructose and glucose and, therefore, improving the shelf life of the products. Industrial invertase is extracted from yeasts. 
 The resulting mixture of these sugars is called 'invert sugar' and the most common form is honey, which is a supersaturated mixture of glucose and fructose. 
 No side effects have been found.",Stabiliser,Doubtful
17,E1104,Lipases ,"Lipases are specialized enzymes in the transformation of triglycerides into glycerol and fatty acids. 
 They are produced by the glands of the tongue and pancreas and initiate the digestion of dietary fat. 
 Commercially, they are usually of animal origin (pig pancreas), but they can also be synthesized biologically by microorganisms.",Flavour enhancer,Doubtful
18,E1105,Lysozyme,"An enzyme, that is a normal constituent of tears, saliva, blood and (human) milk.  
 Lysozyme is an enzymatic protein composed of about 130 amino acids (in humans), which is found particularly in egg white, as well as in certain secretions such as tears, saliva and breast milk. 
 It has an antibacterial function. Commercially this substance is obtained from the egg white. 
 Caution in people with egg allergy and its derivatives. It is widely used in cheeses and spreads.",Preservative ,Doubtful
19,E111,Orange GGN,"It is also known as alpha-naphthol orange. In Europe, it was named with the number E111. Its use in food since January 1, 1978 is prohibited. 
 Examples of foods that may include E111: candies, ice creams, pastry products.",Coloring,Doubtful
20,E120,Cochineal or Carminic Acid,"It is an additive used as a colorant. It is obtained from insects. 
 Used in cosmetics, shampoo, red apple juice, confectionery and other foods. May cause allergic reactions in sensitive individuals.",Coloring,Halal
21,E1200,Polydextroses,"Polymer of glucose, with some sorbitol. Produced by heating dextrose (glucose) in the presence of sorbitol and citric acid. A Thickening and filling agent, binds water and protects against freeze damage.  
  In the human body, it behaves like a dietary fiber. It is obtained by synthesis from dextrose (glucose). 
 Classified as a soluble fiber with a sweet taste. 
 It is used in sugar-free chocolates, light beverages and low-calorie foods. 
 No side effects have been found. At large doses it can cause flatulence  or diarrhea.",Sweetener,Doubtful
22,E1201,Polyvinylpyrrolidone,"Synthetic polymer. Thickening and filling agent, stabiliser and used in pharmaceutical tablets. 
 It is obtained as a derivative of vinyl epirrolidone. It allows to join the lightening agents in drinks. 
 It is used in wines and some beers. It is also used as a disintegrant in pharmaceutical tablets. 
 In large doses causes cancer and spontaneous abortions in laboratory animals. 
 This additive is believed that it could remain in our body even years after having consumed it.",Stabiliser,Halal
23,E1202,Polyvinylpolypyrrolidone,"Synthetic polymer . It is obtained as a derivative of vinyl epirrolidone. It allows to join the lightening agents in drinks. It is used in wines and some beers. 
 It is also used as a disintegrant in pharmaceutical tablets. Polyvinylpyrrolidone is also inserted into cosmetics (hair fixatives, binders, antistatics, emulsifiers, etc.). 
 In large doses causes cancer and spontaneous abortions in laboratory animals. 
 This additive is believed that it could remain in our body even years after having consumed it, despite this, it is not mandatory to indicate its use in the labeling of the product.",Stabiliser,Halal
24,E1203,Polyvinyl alcohol,"Polyvinyl alcohol is a synthetic polymer obtained by alkaline hydrolysis (sodium hydroxide, potassium hydroxide) of polyvinyl acetate. It is a recent additive (2010), there is still very little information available on the substance consumed as a food additive, however, the data of the pure substance are not really attractive. 
 The finished product contains toxic residues: methanol, methyl acetate, etc. Polyvinyl alcohol is also found in cosmetics and in many pharmaceutical products.",Thickener,Doubtful
25,E1204,Pullulan,"Pullulan is a polysaccharide made of starch by the fungus Aureobasidium pullulans. 
 In other words, it is derived from starch extracted from wood, cereals and vegetables fermented by the fungus It is used in capsules, tablets, covers and edible films used in chewing gums, dragees, enamels and pills to freshen the breath. 
 It is also used in oral hygiene products and mouthwashes. 
 No side effects have been found for this additive. Other uses of this additive can be found in pharmaceuticals and cosmetics.",Thickener,Doubtful
26,E1205,Basic methacrylate copolymer,"Coating agent for solid food supplements and solid foods for special medical purposes. The methacrylate ion is the conjugate base of methacrylic acid. Methacrylates are part of the group of vinyls that polymerize by providing methacrylic resins, thermoplastic and colorless, used as safety glass (Plexiglas). 
 For this additive, very little toxicological information is available.",Coating agent,Doubtful
27,E1208,Vinyl Acetate Copolymer,"It is obtained as a derivative of vinyl epirrolidone. It allows to join the lightening agents in drinks. 
 It is used in wines and some beers. It is also used as a disintegrant in pharmaceutical tablets. 
 In large doses causes cancer and spontaneous abortions in laboratory animals. 
 This additive is believed to remain in our body even years after having consumed it, despite this, it is not mandatory to indicate its use in the labeling of the product. 
 For this additive, very little toxicological information is available.",Coating agent,Doubtful
28,E1209,Polyvinyl alcohol graft copolymer,"The graft copolymer of polyvinyl alcohol and polyethylene glycol is a synthetic material in the form of a colorless powder. 
 It is used to create a protective film of instant dissolution that helps protect against unpleasant odors and flavors and preserve sensitive active ingredients. Due to its easy disintegration in contact with liquids, it is only used in solid products. 
 It is used in tablets and capsules of food supplements. There are few toxicological reports. ",Coating agent,Doubtful
29,E121,Citrus Red 2,"It is orange to red. it is produced from fruit peel such as orange or grapefruit. It is used to make the fruit appear ripe and red. 
 In low doses produces bladder and gall bladder stones. In large doses decreases the number of red blood cells and hemoglobin, while increasing the size of the kidneys, liver, and spleen. 
 In the long term it gives degenerative problems in the liver. Prohibited in Europe since 1977.",Coloring,Doubtful
30,E122,Azorubine,"It is used as a synthetic colorant in cosmetics, food and beverage products. E122 is a red synthetic coal tar food dye with high water solubility.",Coloring,Halal
31,E123,Amaranth,"It is used as a synthetic coloring agent in photography as well as in food and beverage products. 
 E123 gives products a red / purple color and is highly water soluble, so it is useful as a dye in photography. 
 E123  is often used in wines and liquors. E123  may cause hyperactivity in children as well as asthma and eczema. There have been some doubts about the possibility of this additive being carcinogenic.",Coloring,Halal
32,E124,Cochineal Red A,"Used as a synthetic colorant in food and beverage products. E124 is a synthetic carbon tar and azo dye that turns food products into bright red. Highly soluble in water. 
 E124 is stated to increase asthma and allergic reactions (especially aspirin allergy). The additive creates carcinogens in animals. 
 This additive can be produced synthetically (Ponceau 4R) or naturally (Cochineal Red A). ",Coloring,Halal
33,E125,Scarlet GN,"A synthetic dye and dark red. Made from petroleum. E125, belonging to the group of azo dyes, used as disodium salt. In the United States it is prohibited in food. Long-term use can cause cancer. 
 Banned in foodstuffs in Europe (since 1976) and the United States (since 1988). (except medicines and cosmetics).",Coloring,Doubtful
34,E126,Ponceau 6R,"This additive is a synthetic dye. It is dark red. It is obtained from petroleum. It belongs to the group of azo dyes. 
 Although banned in the European Union, it (under the name CI16250) is still used in cosmetic products . 
 May cause hyperactivity in children.",Coloring,Doubtful
35,E127,Erythrosine BS,"It is used as a synthetic coloring agent in food and beverage products. E127 pink, purple or purple color red. 
 It is obtained from fluorescein by extraction with iodine and iodic acid in alcohol. E127 contains iodine and is in water soluble. It is used as a colorant. 
 Photographic used as a printing ink.",Color,Halal
36,E128,Red 2G,"E128 gives a red coloration to food products. It is used as a synthetic coloring agent in food and beverage products. It is highly soluble in water and tends to be used in meat and confectionery products. 
 It may cause hyperactivity in children in low doses. Since it is azo dye, it may cause allergic effects. 
 It releases a histamine in large doses. It can increase asthma symptoms, cause eczema and insomnia. 
 Within the intestine it can be converted into the toxic compound Aniline and cause serious damage. In the long term it could be carcinogenic.",Coloring,Halal
37,E129,Allura red AC,"It is obtained from petroleum. It is  used as a synthetic colorant in pharmaceuticals, cosmetics, food and beverage products. 
 E129 is an azo dye that gives dark orange / red color to products. It was produced as an alternative to Amaranth (E123) 
 After E129 lab tests, it's thought to cause bladder cancer in mice.",Coloring,Halal
38,E130,Indanthrone blue,"It is a dark blue additive. It is obtained by the oxidation of Anthracene, an aromatic hydrocarbon. When derived from a hydrocarbon it is potentially carcinogenic. May produce allergies.",Coloring,Doubtful
39,E131,Patent Blue V,"It is used as a synthetic coloring agent in food and beverage products. E131 is highly soluble in water and gives it a blue color. Some allergic reactions have been reported along with the intake of E131.
 Other side effects have included low blood pressure, nausea and skin irritation. Because it is an azo dye, it can cause intolerance in people who are allergic to salicylic acid. ",Color,Halal
40,E132,Indigo Carmine  ,"It is used as a synthetic coloring agent in food and beverage products. E132 is highly soluble in water and gives it a blue color. It is most commonly used as an additive for capsules and tablets. 
 It can also be used as a biological dye. E132 occurs naturally in indigofera tinctoria bushes. However, since it is used commercially, it is mostly produced artificially. 
 It has been found in some studies that E132 causes nausea, vomiting, high blood pressure (hypertension), difficulty breathing and skin irritation.",Coloring,Halal
41,E133,Brilliant Blue FCF,"It is used as a synthetic coloring agent in food and beverage products, but mainly in cosmetics. It is obtained derived from petroleum. E133 is highly soluble in water and gives a blue color to food products. 
 E133 can be used together with tartrazine (E102) to give various shades of green. The coloration can also be used in inks and as fabric dye. 
 It is known that E133 causes an allergic reaction (this is rare)",Colour,Halal
42,E140,Chlorophyll,"It is used as a synthetic dye in food products and beverages. It is divided into 2 classes: 
 • E140 (i): chlorophylls 
 • E140 (ii): chlorophyllins 
 E140 (i) and E140 (ii) give a dark green color. E140 (i) and E140 (ii) can be used in cosmetics and medicines, as well as in food products. These dyes are soluble in water, although their intensity can disappear with time.  ",Colours,Doubtful
43,E1400,"Dextrins, roasted starch","It dextrins are a family of polysaccharides, dextrose polymers (glucose, nd.) Prepared by partial degradation with hydrochloric or ortho-phosphoric acid. 
 They may be of natural origin obtained from tapioca starch, rice or potatoes or from synthetic origin derived from transgenic maize starches. 
 They are also used to give greater stability in frozen foods that need to maintain the same texture and appearance when thawed. 
 They are used in sauces, mayonnaises, soups, cheeses, dairy products, cream for cooking, yoghurts, puddings, custards, desserts, sweets, candies, cocoa powder, vegetable preparations, stuffed cakes, soft drinks, juices, juices and meat products. 
 In large doses can cause hyperactivity.  It can cause an allergic reaction in some people, it contains traces of allergens such as wheat or corn. For gluten intolerant, check that it is not wheat starch. ",Thickener,Halal
44,E1401,Acid-treated starch,"They may be of natural origin obtained from tapioca starch, rice or potatoes or from synthetic origin derived from transgenic maize starches. 
 They are also used to give greater stability in frozen foods that need to maintain the same texture and appearance when thawed. 
 They are used in sauces, mayonnaises, soups, cheeses, dairy products, cream for cooking, yoghurts, puddings, custards, desserts, sweets, candies. 
 It starches are frequently present as not or slightly toxic, however, chemical modifications can be dangerous, and transgenic raw materials (corn, wheat, potato). 
 In large doses can cause hyperactivity and digestive discomfort.",Thickener,Doubtful
45,E1402,Alkaline treated starch,"Prepared by treating starch or starch granules with sodium-or potassium hydroxide. The starch is partially degraded. Used as a Thickening agent and stabiliser in many food products, pharmaceuticals. 
 Acceptable Daily Intake is not determined. In large doses can cause hyperactivity and digestive discomfort.",Thickener,Doubtful
46,E1403,Bleached starch,"The production of modified starches uses plants such as corn, potatoes or wheat as the main raw materials. The corn can be totally or partially transgenic, without this being added to the label. 
 In the European Union, there is no commercial exploitation of genetically modified (rem.) Potatoes or wheat, but this could change in the near future. Then, it is said that the bleached starch E1403 is partially degraded and oxidized. 
 Bleaching agents include sodium hypochlorite (bleach), sulfites, ammonium persulfate. 
 They are used in sauces, mayonnaises, soups, cheeses, dairy products, cream for cooking, yoghurts, puddings, custards, desserts, sweets, candies.  
  In large doses can cause hyperactivity and digestive discomfort.",Thickener,Halal
47,E1404,Oxidized starch,"The production of modified starches uses plants such as corn, potatoes or wheat as the main raw materials. 
 The corn can be totally or partially transgenic, without this being added to the label. In the European Union, there is no commercial exploitation of genetically modified (rem.) Potatoes or wheat, but this could change in the near future. They are used in sauces, mayonnaises, soups, cheeses, dairy products, cream for cooking, yoghurts, puddings, custards, desserts, sweets, candies. 
 It starches are frequently present as not or slightly toxic, however, chemical modifications can be dangerous, and transgenic raw materials (corn, wheat, potatoes). 
 It contains traces of potentially harmful sulfur dioxide in susceptible asthmatics. In large doses can cause hyperactivity and digestive discomfort.",Thickener,Halal
48,E1405,"Starches, enzyme treated","The production of modified starches uses plants such as corn, potatoes or wheat as the main raw materials. 
 The corn can be totally or partially transgenic, without this being added to the label. 
 In the European Union, there is no commercial exploitation of genetically modified (rem.) Potatoes or wheat, but this could change in the near future. 
 It is then treated with enzymes (amylases) that degrade it. They are used in sauces, mayonnaises, soups, cheeses, dairy products, cream for cooking, yoghurts, puddings, custards, desserts, sweets, candies. 
 It starches often occur as not or slightly toxic, however, chemical modifications can be dangerous, and transgenic raw materials (corn, wheat, potato). 
 It contains traces of potentially harmful sulfur dioxide in susceptible asthmatics. In large doses can cause hyperactivity and digestive discomfort.",Thickener ,Doubtful
49,E141,Copper Complex of Chlorophyll,"It is used as a synthetic dye in food products and beverages. E141 (i) includes chlorophyll copper complexes. It is divided into 2 classes:  E141 (i)  and  E141 (ii). These coloring agents provide a tone very similar to olive green. 
However, E141 (i) and E141 (ii) are more stable forms than E140 (i) and E140 (ii) because the magnesium ion in chlorophyll in E140 (i) and E140 (ii) is replaced by copper in E141 ( i) and E141 (ii). 
 E141 (i) is soluble in water. E141 (ii) is  soluble  in oil. The copper content of the dyes can be released when heated, but must not reach dangerous levels.",Color,Doubtful
50,E1410,Monostarch phosphate,"The production of modified starches uses plants such as corn, potatoes or wheat as the main raw materials. 
 The corn can be totally or partially transgenic, without this being added to the label. 
 In the European Union, there is no commercial exploitation of genetically modified (rem.) Potatoes or wheat, but this could change in the near future. E1410 is partially degraded and then phosphorylated, undergoes a hot reaction with phosphoric acid, sodium orthophosphate or tripolyphosphate. This phosphate may be of animal or vegetable origin. 
 They are used in sauces, mayonnaises, soups, cheeses, dairy products, cream for cooking, yoghurts, puddings, custards, desserts, sweets, candies. 
 It starches are often present as not or slightly toxic, however, chemical modifications can be dangerous, and transgenic raw materials (corn, wheat, potato). E1410 contains traces of potentially harmful sulfur dioxide in susceptible asthmatics. 
 In large doses can cause hyperactivity and digestive discomfort. ",Thickener,Halal
51,E1411,Distarch glycerol,"The production of modified starches uses plants such as corn, potatoes or wheat as the main raw materials. The corn can be totally or partially transgenic, without this being added to the label. 
 In the European Union, there is no commercial exploitation of genetically modified (rem.). Potatoes or wheat, but this could change in the near future. 
 It is partially degraded and combined with glycerol. 
 They are used in sauces, mayonnaises, soups, cheeses, dairy products, cream for cooking, yoghurts, puddings, custards, desserts, sweets, candies. 
 It starches are frequently present as non-toxic or slightly toxic, however, chemical modifications can be dangerous, and transgenic raw materials (corn, wheat, potato). 
  In large doses can cause hyperactivity and digestive discomfort.",Thickener,Doubtful
52,E1412,Distarch phosphate,"The production of modified starches uses plants such as corn, potatoes or wheat as the main raw materials. The corn can be totally or partially transgenic, without this being added to the label. 
 In the European Union, there is no commercial exploitation of genetically modified (rem.) Potatoes or wheat, but this could change in the near future. It is then modified with sodium trimetaphosphate or phosphorus oxychloride. 
 They are used in sauces, mayonnaises, soups, cheeses, dairy products, cream for cooking, yoghurts, puddings, custards, desserts, sweets, candies. 
 It starches often occur as not or slightly toxic, however, chemical modifications can be dangerous, and transgenic raw materials (corn, wheat, potato). 
 In large doses can cause hyperactivity and digestive discomfort.  ",Thickener,Halal
53,E1413,Phosphated distarch phosphate,"The production of modified starches uses plants such as corn, potatoes or wheat as the main raw materials. The corn can be totally or partially transgenic, without this being added to the label. 
 In the European Union, there is no commercial exploitation of genetically modified (rem.) Potatoes or wheat, but this could change in the near future. 
 It starch is then treated with a phosphorylating agent and then with phosphoric acid (E338). 
 They are used in sauces, mayonnaises, soups, cheeses, dairy products, cream for cooking, yoghurts, puddings, custards, desserts, sweets, candies. 
 It starches are often present as not or slightly toxic, however, chemical modifications can be dangerous, and transgenic raw materials (corn, wheat, potato). 
 In large doses can cause hyperactivity and digestive discomfort.",Thickener,Halal
54,E1414,Acetylated distarch phosphate,"The production of modified starches uses plants such as corn, potatoes or wheat as the main raw materials. The corn can be totally or partially transgenic, without this being added to the label. 
 In the European Union, there is no commercial exploitation of genetically modified (rem.) Potatoes or wheat, but this could change in the near future. 
 Starch E1414 is chemically modified with a phosphorylating agent and then with acetic acid (E260) or with vinyl acetate.  
 They are used in sauces, mayonnaises, soups, cheeses, dairy products, cream for cooking, yoghurts, puddings, custards, desserts, sweets, candies. 
 It starches are often present as not or slightly toxic, however, chemical modifications can be dangerous, and transgenic raw materials (corn, wheat, potato). 
 In large doses can cause hyperactivity and digestive discomfort.",Thickener,Halal
55,E142,Green S ,"It is used as a synthetic coloring agent in food and beverage products. The derivative of the hydrocarbon Trifenilmethane is obtained. 
 E142 is moderately soluble in water, but requires a neutral pH environment to remain stable. In some cases, allergic reactions and anemia have been reported after contact with high concentrations of this dye.
 Potentially long-term carcinogenic. However, E142 is generally considered safe in small quantities.",Colours,Halal
56,E1420,Starch acetate,"The production of modified starches uses plants such as corn, potatoes or wheat as the main raw materials. The corn can be totally or partially transgenic, without this being added to the label. 
 In the European Union, there is no commercial exploitation of genetically modified (rem.) Potatoes or wheat, but this could change in the near future. 
 Starch E1420 is chemically modified with acetic acid anhydride (E260) or with vinyl acetate.
 They are used in sauces, mayonnaises, soups, cheeses, dairy products, cream for cooking, yoghurts, puddings, custards, desserts, sweets, candies. 
 It starches are often present as not or slightly toxic, however, chemical modifications can be dangerous, and transgenic raw materials (corn, wheat, potato). 
 In large doses can cause hyperactivity and digestive discomfort.",Thickener,Halal
57,E1421,Starch acetate esterified with vinyl acetate,"The production of modified starches uses plants such as corn, potatoes or wheat as the main raw materials. The corn can be totally or partially transgenic, without this being added to the label. 
 In the European Union, there is no commercial exploitation of genetically modified (rem.) Potatoes or wheat, but this could change in the near future. 
 Like many modified starches, E1421 is chemically modified by treatment with vinyl acetate. 
 They are used in sauces, mayonnaises, soups, cheeses, dairy products, cream for cooking, yoghurts, puddings, custards, desserts, sweets, candies. 
 It starches are often present as not or slightly toxic, however, chemical modifications can be dangerous, and transgenic raw materials (corn, wheat, potato). 
 In large doses can cause hyperactivity and digestive discomfort.",Thickener,Halal
58,E1422,Acetylated distarch adipate,"The production of modified starches uses plants such as corn, potatoes or wheat as the main raw materials. The corn can be totally or partially transgenic, without this being added to the label. 
 In the European Union, there is no commercial exploitation of genetically modified (rem.) Potatoes or wheat, but this could change in the near future. 
 Acetylated diamidon adipate is chemically modified by the action of anhydrous acetic acid (E260) and anhydrous adipic acid (E355). 
 They are used in sauces, mayonnaises, soups, cheeses, dairy products, cream for cooking, yoghurts, puddings, custards, desserts, sweets, candies. 
 It starches are often present as not or slightly toxic, however, chemical modifications can be dangerous, and transgenic raw materials (corn, wheat, potato). 
 In large doses can cause hyperactivity and digestive discomfort.",Thickener,Halal
59,E1423,Acetylated distarch glycerol,thickening agent,thickening agent,Doubtful
60,E143,Fast Green FCF,"It is obtained by synthesis from hydrocarbons, specifically benzene. 
 Carcinogenic effects have been found in tests with laboratory animals, as well as mutagenic effects in cell cultures, experimental animals and in humans.",Colours,Doubtful
61,E1430,Distarch glycerine (stabiliser),thickening agent,thickening agent,Doubtful
62,E1440,Hydroxypropyl starch,"The production of modified starches uses plants such as corn, potatoes or wheat as the main raw materials. The corn can be totally or partially transgenic, without this being added to the label. 
 In the European Union, there is no commercial exploitation of genetically modified (rem.) Potatoes or wheat, but this could change in the near future. 
 It is modified (esterified) with propylene oxide. 
 They are used in sauces, mayonnaises, soups, cheeses, dairy products, cream for cooking, yoghurts, puddings, custards, desserts, sweets, candies. 
 It starches are often present as not or slightly toxic, however, chemical modifications can be dangerous, and transgenic raw materials (corn, wheat, potato). 
 In large doses can cause hyperactivity and digestive discomfort.",Thickener,Halal
63,E1441,Hydoxypropyl di-starch glycerol,"The production of modified starches uses plants such as corn, potatoes or wheat as the main raw materials. The corn can be totally or partially transgenic, without this being added to the label. 
 In the European Union, there is no commercial exploitation of genetically modified (rem.) Potatoes or wheat, but this could change in the near future. 
 It is then chemically modified with propylene oxide, epichlorohydrin and glycerol. 
 They are used in sauces, mayonnaises, soups, cheeses, dairy products, cream for cooking, yoghurts, puddings, custards, desserts, sweets, candies. 
 It starches are often present as not or slightly toxic, however, chemical modifications can be dangerous, and transgenic raw materials (corn, wheat, potato). 
 In large doses can cause hyperactivity and digestive discomfort.",Thickener,Doubtful
64,E1442,Hydroxypropyl distarch phosphate,"The production of modified starches uses plants such as corn, potatoes or wheat as the main raw materials. The corn can be totally or partially transgenic, without this being added to the label. 
 In the European Union, there is no commercial exploitation of genetically modified (rem.) Potatoes or wheat, but this could change in the near future. 
 It is then treated with propylene oxide and (according to the European definition) sodium trimetaphosphate or phosphorus oxychloride. The United States allows more chemicals in modified starches, as well as for processed foods in general.
 They are used in sauces, mayonnaises, soups, cheeses, dairy products, cream for cooking, yoghurts, puddings, custards, desserts, sweets, candies. 
 It starches are often present as not or slightly toxic, however, chemical modifications can be dangerous, and transgenic raw materials (corn, wheat, potato). 
 In large doses can cause hyperactivity and digestive discomfort.",Thickener,Halal
65,E1443,Hydroxy propyl distarch glycerol,Unknown,Unknown,Doubtful
66,E1450,Starch sodium octenyl succinate,"The production of modified starches uses plants such as corn, potatoes or wheat as the main raw materials. The corn can be totally or partially transgenic, without this being added to the label. 
 In the European Union, there is no commercial exploitation of genetically modified (rem.) Potatoes or wheat, but this could change in the near future. 
 It is then modified chemically by reaction with succinic acid and octanol. 
 They are used in sauces, mayonnaises, soups, cheeses, dairy products, cream for cooking, yoghurts, puddings, custards, desserts, sweets, candies. 
 It starches are often present as not or slightly toxic, however, chemical modifications can be dangerous, and transgenic raw materials (corn, wheat, potato). 
 In large doses can cause hyperactivity and digestive discomfort.",Thickener,Halal
67,E1451,Acetylated oxidised starch,"The production of modified starches uses plants such as corn, potatoes or wheat as the main raw materials. The corn can be totally or partially transgenic, without this being added to the label. 
 In the European Union, there is no commercial exploitation of genetically modified (rem.) Potatoes or wheat, but this could change in the near future. 
  It is treated especially with an oxidizing agent, sodium hypochlorite and an acetylating agent, anhydrous acetic acid. 
 They are used in sauces, mayonnaises, soups, cheeses, dairy products, cream for cooking, yoghurts, puddings, custards, desserts, sweets, candies. 
 It starches are often present as not or slightly toxic, however, chemical modifications can be dangerous, and transgenic raw materials (corn, wheat, potato). 
 In large doses can cause hyperactivity and digestive discomfort.",Thickener,Doubtful
68,E1452,Starch aluminium octenyl succinate,"The production of modified starches uses plants such as corn, potatoes or wheat as the main raw materials. The corn can be totally or partially transgenic, without this being added to the label. 
 In the European Union, there is no commercial exploitation of genetically modified (rem.) Potatoes or wheat, but this could change in the near future. 
 It is chemically modified with succinic acid, octanol and aluminum sulfate. 
 They are used in sauces, mayonnaises, soups, cheeses, dairy products, cream for cooking, yoghurts, puddings, custards, desserts, sweets, candies. 
 It starches are often present as not or slightly toxic, however, chemical modifications can be dangerous, and transgenic raw materials (corn, wheat, potato). 
 In large doses can cause hyperactivity and digestive discomfort.",Thickener,Doubtful
69,E150,Plain caramel,"These are used as synthetic colorants in food and beverage products. It has dark brown color. 
 Made from carbohydrates such as corn or wheat in the USA and Europe. Depending on the reagents used in production are divided into 4 classes: 
 • E150A: Caustic Candy 
 • E150B: Caustic Sulfite Caramel 
 • E150C: Ammonic Caramel 
 • E150D: Ammonium Sulfite Caramel 
 E150 adds a dark brown color to foods. It is produced by the heat treatment of sucrose. E150 can also act as an emulsifier in soft drinks. 
 It is thought to cause hyperactivity in children. But no detailed evidence was found. 
 It is known that E150C and E150D cause intestinal problems if large amounts are consumed and decrease the absorption of Vitamin B6. In the long term they could be carcinogenic, in some places like the State of California in the USA, they have decided to indicate on their labels this ingredient as a possible carcinogen.",Colours,Halal
70,E1501,Benzylated hydrocarbons,"Natural compounds that are part of the flavor and fragrance of several plant species. 
 They are produced commercially by chemical synthesis. 
 These compounds are also used in cosmetics and medicines. 
 No effect is known when they are used in food. 
 Skin problems may occur when used in cosmetics.",Flavoring,Doubtful
71,E1502,"Butane-1,3-diol","This additive is commercially by chemical synthesis.  
Used as a solvent for flavours and in Tobacco products. 
 Very little is known about this additive and its effect on the human body. At the moment no harmful side effects are known.",Flavoring,Doubtful
